"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C8","0.1uF","~","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","3",""
"C2","CP/10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C3,C5","10uF","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"C6","CP/100uF","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C7","CP/4.7uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C9,C10,C11","0.1uF/50V","~","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","3",""
"CB1","750mA/13.5V","~","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","1",""
"D1","5.1V/1W","~","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","1",""
"D2","LED","~","LED_THT:LED_D3.0mm","1",""
"D3,D4,D5,D6,D7,D8,D9","IR333-A","~","LED_THT:LED_D5.0mm","7",""
"J1","USB_B_Micro","~","Connector_USB:USB_Micro-B_Wuerth_629105150521","1",""
"Q1,Q3,Q4,Q5,Q6,Q7","S8050","http://www.unisonic.com.tw/datasheet/S8050.pdf","Package_TO_SOT_THT:TO-92_Inline","6",""
"Q2","BSS138","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","Package_TO_SOT_SMD:SOT-23","1",""
"R1,R3,R5,R8,R10,R11,R16","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","7",""
"R2,R4,R9,R13,R15","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","5",""
"R6,R7,R12,R14,R17","5.6R","~","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal","5",""
"SW1,SW2,SW3","SW_Push","~","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","3",""
"TP1,TP2,TP3,TP4,TP5","TestPoint","~","TestPoint:TestPoint_Pad_D2.5mm","5",""
"U1","ESP32-WROOM-32U","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf","RF_Module:ESP32-WROOM-32U","1",""
"U2","LM1117T-3.3","http://www.ti.com/lit/ds/symlink/lm1117.pdf","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1",""
"U3","HS0038B","","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"U4","CH340C","https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1",""
